item,aliases,category,material,disposal_action,why,sustainability_tip,special_handling,confidence_note,source,source_url
"Banana peel","banana skin;fruit peel","Organic/Biodegradable","Food waste","Place in the appropriate wet/organic waste stream or compost where locally supported","Banana peel is biodegradable organic waste","Compost suitable food waste where locally supported","Keep separate from dry recyclable waste","Local collection systems may differ","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Vegetable peels","vegetable waste;kitchen peels","Organic/Biodegradable","Food waste","Place in the appropriate wet/organic waste stream or compost where locally supported","Vegetable peels are biodegradable organic waste","Reduce food waste and compost suitable organic material","Keep separate from dry waste","Local collection systems may differ","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Food leftovers","food scraps;cooked food waste","Organic/Biodegradable","Food waste","Place in the appropriate wet/organic waste stream or compost where locally supported","Food waste is biodegradable and should generally be kept separate from dry recyclables","Reduce food waste and compost suitable leftovers","Do not mix with recyclable dry waste","Local waste systems may specify separate wet-waste collection","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Paper","waste paper;office paper","Recyclable/Dry Waste","Paper","Keep dry and place in the appropriate dry/recyclable waste stream","Clean paper can generally enter paper-recycling streams","Use both sides before recycling","Keep away from wet waste","Acceptance depends on local collection systems","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Newspaper","old newspaper;newsprint","Recyclable/Dry Waste","Paper","Keep dry and give to an appropriate recyclable-waste collection channel","Newspaper is a paper material commonly recovered for recycling","Reuse for suitable household purposes before recycling","Keep away from wet waste","Local recyclers may have specific acceptance rules","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Cardboard","carton;corrugated cardboard;box","Recyclable/Dry Waste","Paper/Cardboard","Flatten and keep dry for the appropriate recyclable-waste collection channel","Clean cardboard can generally be recovered for recycling","Reuse boxes when practical","Remove excessive food contamination","Local collection systems may differ","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Plastic bottle","PET bottle;water bottle;beverage bottle","Plastic Waste","Plastic/PET","Empty and segregate for the appropriate local plastic-waste or recycling channel","Plastic packaging can be collected and channelized through waste-management systems","Reuse suitable containers when appropriate and recycle when accepted","Do not burn plastic waste","Local plastic collection and recycling availability varies","CPCB Consolidated Guidelines for Plastic Waste","https://cpcb.nic.in/uploads/plasticwaste/consolidate_guidelines_for_disposal_of_pw.pdf"
"Plastic container","food container;plastic tub;plastic box","Plastic Waste","Plastic","Empty and segregate for the appropriate local plastic-waste or recycling channel","Plastic containers are plastic waste and may be recyclable depending on the local system","Prefer reusable containers where practical","Remove food residue where practical","Recycling acceptance varies by material and local system","CPCB Consolidated Guidelines for Plastic Waste","https://cpcb.nic.in/uploads/plasticwaste/consolidate_guidelines_for_disposal_of_pw.pdf"
"Plastic bag","polythene bag;carry bag;plastic carry bag","Plastic Waste","Plastic","Segregate and hand over through the appropriate local plastic-waste collection channel","Plastic bags are plastic waste requiring appropriate collection and processing","Prefer reusable bags to reduce single-use plastic","Do not burn or litter plastic bags","Local collection and acceptance may differ","CPCB Consolidated Guidelines for Plastic Waste","https://cpcb.nic.in/uploads/plasticwaste/consolidate_guidelines_for_disposal_of_pw.pdf"
"Plastic wrapper","snack wrapper;food wrapper;plastic packaging","Plastic Waste","Plastic packaging","Segregate and hand over through an appropriate local plastic-waste channel","Plastic packaging should be kept out of organic waste where collection systems support separate segregation","Avoid unnecessary single-use packaging","Do not burn plastic waste","Acceptance depends on local collection and processing facilities","CPCB Consolidated Guidelines for Plastic Waste","https://cpcb.nic.in/uploads/plasticwaste/consolidate_guidelines_for_disposal_of_pw.pdf"
"Glass bottle","glass jar;beverage glass bottle","Recyclable/Dry Waste","Glass","Keep separate and hand over through the appropriate recyclable-waste collection channel","Glass can be recovered and recycled through suitable systems","Reuse intact containers where appropriate","Handle broken glass carefully","Local collection systems may differ","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Broken glass","shattered glass;glass pieces","Special Handling","Glass","Keep separate from loose household waste and follow the local guidance for broken glass","Broken glass can cause injury and should not be mixed carelessly with other waste","Reuse or recycle intact glass when possible","Handle carefully and keep contained","Follow local collection instructions for broken glass","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
